utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 58 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 57 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
99 %, 60 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 54 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 54 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
99 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
99 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 59 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 58 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 59 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 58 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 55 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 54 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 55 %, 12209 MiB, 9087 MiB, 3122 MiB, 3004 MHz
99 %, 60 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 57 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 55 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 58 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 59 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 57 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 59 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 54 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 60 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 57 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 59 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 59 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 59 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 55 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 58 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 55 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 53 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 55 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 61 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 58 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 59 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 57 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 54 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 60 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 57 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
93 %, 53 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 59 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 60 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
99 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 58 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 60 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 59 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 55 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 59 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 56 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 54 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 54 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 58 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 60 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 56 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
99 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
100 %, 57 %, 12209 MiB, 9088 MiB, 3121 MiB, 3004 MHz
100 %, 57 %, 12212 MiB, 9216 MiB, 2996 MiB, 3004 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
0 %, 0 %, 12212 MiB, 12202 MiB, 10 MiB, 405 MHz
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], clocks.current.memory [MHz]
